3,Fears for T N pension after talks,Unions representing workers at Turner   Newall say they are 'disappointed' after talks with stricken parent firm Federal Mogul.
2,British sailors bag bronze,Britain's Chris Draper and Simon Hiscocks win bronze in a tense final 49er race on the Saronic Gulf.
2,Liberty rally to edge Shock,Bethany Donaphin didn #39;t have time to think when she got the ball with the score tied and clock winding down in regulation. Donaphin hit a turnaround jumper with 0.5 of a second remaining to lift the host New 
1,Taiwan votes on leaner parliament,A vote is due to be held in Taiwan on plans to halve the number of seats in the island's famously heated legislature.
2,"Germany, Brazil draw","Germany and Brazil fought out a 1-1 friendly international draw in their first meeting since the 2002 World Cup final. The visitors opened the scoring on nine minutes thanks to a Ronaldinho free kick, but "
3,Investors expect PeopleSoft shareholders to back Oracle bid,"REDWOOD SHORES, Calif. Investors continue to bet today that most PeopleSoft shareholders will back Oracle #39;s nine-point-two (b) billion-dollar takeover bid for its bitter rival."
2,Giants creep up in division,"There was only an  quot;uh oh quot; inning for Brett Tomko in the first frame as the Giants pitcher gave up two home runs, but the right-hander got on track and breezed to a "
2,It #39;s got to be Cole on the left,"Football365 #39;s top pundit looks ahead to England #39;s international double-header and calls for Joe Cole to be given the nod on the left... Of the three left-sided options available to Sven-Goran Eriksson on Saturday, I would personally go for Joe Cole."
3,Wall Street: Will the rally continue through December?,"So far, Wall Street #39;s hoped-for fourth-quarter rally has met investors #39; expectations. But there #39;s been enough bad news lately to make you wonder if the buying will sputter."
4,Microsoft reworks antispam spec to silence critics,"com October 25, 2004, 6:49 PM PT. This priority retains its ranking at number five as more and more companies deploy Web Services to share business logic, data and processes with each other and with clients."
1,"Germany, France support Turkish invitation to EU membership talks (AFP)","AFP - Germany and France both support inviting to European Union membership talks at a summit in December in Brussels, Chancellor Gerhard Schroeder said."
4,Phone fight against home violence,A campaign begins to collect old mobile phones and convert them into alarms for women who are attacked in the home.
1,New Poll Shows Bush and Kerry in Dead Heat (Reuters),"Reuters - President Bush is now in a\statistical dead heat with Democratic challenger Sen. John\Kerry for the Nov. 2 election, in a tightening of the race\after the first debate last week, a poll on Monday showed."
4,Midtier ERP Vendors Can Capitalize On Oracle Antitrust Verdict,"The door is open for Oracle to win its bid for PeopleSoft, and for midmarket ERP vendors to increase their business. By Elena Malykhina."
4,"Game Daze:  #39;Grand Theft Auto: San Andreas, #39;  #39;Midway Arcade &lt;b&gt;...&lt;/b&gt;",It #39;s violent. It #39;s profane and politically incorrect. It #39;s packed wall to wall with tough thugs doing terrible things.
